row_number,level,Nation_fk,Year,Region,Country,Buddhists,Christians,Folk Religions,Hindus,Jews,Muslims,Other Religions,Unaffiliated
249,1,1,2020,Asia-Pacific,Afghanistan,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
250,1,2,2020,Europe,Albania,0.00,16.70,0.00,0.00,0.00,82.10,0.00,0.00
251,1,3,2020,Middle East-North Africa,Algeria,0.00,0.00,0.00,0.00,0.00,97.90,0.00,1.80
252,1,4,2020,Asia-Pacific,American Samoa,0.00,98.30,0.00,0.00,0.00,0.00,0.00,0.00
253,1,5,2020,Europe,Andorra,0.00,89.50,0.00,0.00,0.00,0.00,0.00,8.80
254,1,6,2020,Sub-Saharan Africa,Angola,0.00,90.50,4.20,0.00,0.00,0.00,0.00,5.20
255,1,7,2020,Latin America-Caribbean,Anguilla,0.00,90.60,2.90,0.00,0.00,0.00,1.60,4.00
256,1,8,2020,Latin America-Caribbean,Antigua and Barbuda,0.00,93.00,3.60,0.00,0.00,0.00,0.00,1.70
257,1,9,2020,Latin America-Caribbean,Argentina,0.00,85.40,0.00,0.00,0.00,0.00,0.00,12.10
258,1,10,2020,Asia-Pacific,Armenia,0.00,98.30,0.00,0.00,0.00,0.00,0.00,1.30
259,1,11,2020,Latin America-Caribbean,Aruba,0.00,91.60,1.30,0.00,0.00,0.00,0.00,6.20
260,1,12,2020,Asia-Pacific,Australia,2.90,61.70,0.00,1.70,0.00,3.00,0.00,28.60
261,1,13,2020,Europe,Austria,0.00,78.40,0.00,0.00,0.00,6.20,0.00,14.50
262,1,14,2020,Asia-Pacific,Azerbaijan,0.00,2.60,0.00,0.00,0.00,97.30,0.00,0.00
263,1,15,2020,Latin America-Caribbean,Bahamas,0.00,96.20,0.00,0.00,0.00,0.00,0.00,3.00
264,1,16,2020,Middle East-North Africa,Bahrain,3.10,14.10,0.00,10.20,0.00,69.70,0.00,2.00
265,1,17,2020,Asia-Pacific,Bangladesh,0.00,0.00,0.00,8.20,0.00,90.80,0.00,0.00
266,1,18,2020,Latin America-Caribbean,Barbados,0.00,95.20,0.00,0.00,0.00,0.00,1.40,1.90
267,1,19,2020,Europe,Belarus,0.00,70.70,0.00,0.00,0.00,0.00,0.00,28.60
268,1,20,2020,Europe,Belgium,0.00,60.50,0.00,0.00,0.00,7.50,0.00,31.00
269,1,21,2020,Latin America-Caribbean,Belize,0.00,87.60,1.50,0.00,1.10,0.00,0.00,9.00
270,1,22,2020,Sub-Saharan Africa,Benin,0.00,52.20,17.90,0.00,0.00,24.60,0.00,5.20
271,1,23,2020,North America,Bermuda,0.00,75.00,3.00,0.00,0.00,1.10,0.00,19.40
272,1,24,2020,Asia-Pacific,Bhutan,74.70,0.00,1.90,22.50,0.00,0.00,0.00,0.00
273,1,25,2020,Latin America-Caribbean,Bolivia,0.00,94.00,0.00,0.00,0.00,0.00,0.00,4.10
274,1,26,2020,Europe,Bosnia-Herzegovina,0.00,51.10,0.00,0.00,0.00,46.50,0.00,2.40
275,1,27,2020,Sub-Saharan Africa,Botswana,0.00,76.40,4.40,0.00,0.00,0.00,0.00,17.50
276,1,28,2020,Latin America-Caribbean,Brazil,0.00,88.10,3.20,0.00,0.00,0.00,0.00,8.40
277,1,29,2020,Latin America-Caribbean,British Virgin Islands,0.00,84.50,8.40,1.20,0.00,1.20,0.00,3.90
278,1,30,2020,Asia-Pacific,Brunei,8.60,9.40,6.20,0.00,0.00,75.10,0.00,0.00
279,1,31,2020,Europe,Bulgaria,0.00,81.00,0.00,0.00,0.00,14.20,0.00,4.70
280,1,32,2020,Sub-Saharan Africa,Burkina Faso,0.00,21.70,15.10,0.00,0.00,62.70,0.00,0.00
281,1,33,2020,Sub-Saharan Africa,Burundi,0.00,91.00,6.00,0.00,0.00,2.90,0.00,0.00
282,1,34,2020,Asia-Pacific,Cambodia,96.80,0.00,0.00,0.00,0.00,2.00,0.00,0.00
283,1,35,2020,Sub-Saharan Africa,Cameroon,0.00,69.60,3.20,0.00,0.00,19.30,2.70,5.20
284,1,36,2020,North America,Canada,1.00,66.40,1.20,1.70,1.10,2.80,1.20,24.50
285,1,37,2020,Sub-Saharan Africa,Cape Verde,0.00,89.30,1.40,0.00,0.00,0.00,0.00,9.00
286,1,38,2020,Latin America-Caribbean,Cayman Islands,0.00,83.50,4.50,0.00,0.00,0.00,0.00,9.40
287,1,39,2020,Sub-Saharan Africa,Central African Republic,0.00,89.00,1.00,0.00,0.00,9.00,0.00,0.00
288,1,40,2020,Sub-Saharan Africa,Chad,0.00,41.10,1.30,0.00,0.00,55.10,0.00,2.40
289,1,41,2020,Europe,Channel Islands,0.00,85.20,0.00,0.00,0.00,0.00,0.00,14.20
290,1,42,2020,Latin America-Caribbean,Chile,0.00,88.30,1.50,0.00,0.00,0.00,0.00,9.70
291,1,43,2020,Asia-Pacific,China,18.30,5.20,21.90,0.00,0.00,2.00,0.00,51.80
292,1,44,2020,Latin America-Caribbean,Colombia,0.00,92.30,0.00,0.00,0.00,0.00,0.00,6.70
293,1,45,2020,Sub-Saharan Africa,Comoros,0.00,0.00,0.00,0.00,0.00,98.30,0.00,0.00
294,1,46,2020,Sub-Saharan Africa,Republic of the Congo,0.00,87.10,2.70,0.00,0.00,1.20,1.00,8.00
295,1,47,2020,Sub-Saharan Africa,Democratic Republic of the Congo,0.00,95.80,0.00,0.00,0.00,1.50,0.00,1.70
296,1,48,2020,Asia-Pacific,Cook Islands,0.00,96.00,0.00,0.00,0.00,0.00,0.00,3.20
297,1,49,2020,Latin America-Caribbean,Costa Rica,0.00,90.80,0.00,0.00,0.00,0.00,0.00,8.00
298,1,50,2020,Sub-Saharan Africa,Ivory Coast,0.00,44.00,10.50,0.00,0.00,37.20,0.00,8.10
299,1,51,2020,Europe,Croatia,0.00,93.30,0.00,0.00,0.00,1.60,0.00,5.10
300,1,52,2020,Latin America-Caribbean,Cuba,0.00,58.90,17.60,0.00,0.00,0.00,0.00,23.20
301,1,53,2020,Asia-Pacific,Cyprus,0.00,72.30,0.00,0.00,0.00,25.00,0.00,1.90
302,1,54,2020,Europe,Czech Republic,0.00,20.90,0.00,0.00,0.00,0.00,0.00,78.40
303,1,55,2020,Europe,Denmark,0.00,81.90,0.00,0.00,0.00,5.10,0.00,12.00
304,1,56,2020,Sub-Saharan Africa,Djibouti,0.00,2.30,0.00,0.00,0.00,96.90,0.00,0.00
305,1,57,2020,Latin America-Caribbean,Dominica,0.00,94.40,3.00,0.00,0.00,0.00,1.70,0.00
306,1,58,2020,Latin America-Caribbean,Dominican Republic,0.00,88.00,0.00,0.00,0.00,0.00,0.00,10.90
307,1,59,2020,Latin America-Caribbean,Ecuador,0.00,94.00,0.00,0.00,0.00,0.00,0.00,5.60
308,1,60,2020,Middle East-North Africa,Egypt,0.00,4.70,0.00,0.00,0.00,95.30,0.00,0.00
309,1,61,2020,Latin America-Caribbean,El Salvador,0.00,88.00,0.00,0.00,0.00,0.00,0.00,11.20
310,1,62,2020,Sub-Saharan Africa,Equatorial Guinea,0.00,88.70,1.70,0.00,0.00,4.00,0.00,5.00
311,1,63,2020,Sub-Saharan Africa,Eritrea,0.00,62.90,0.00,0.00,0.00,36.60,0.00,0.00
312,1,64,2020,Europe,Estonia,0.00,39.30,0.00,0.00,0.00,0.00,0.00,60.20
313,1,65,2020,Sub-Saharan Africa,Ethiopia,0.00,61.90,2.10,0.00,0.00,35.90,0.00,0.00
314,1,66,2020,Europe,Faeroe Islands,0.00,98.00,0.00,0.00,0.00,0.00,0.00,1.70
315,1,67,2020,Latin America-Caribbean,Falkland Islands (Malvinas),0.00,67.20,0.00,0.00,0.00,0.00,0.00,31.50
316,1,68,2020,Asia-Pacific,Fiji,0.00,64.40,0.00,27.90,0.00,6.30,0.00,0.00
317,1,69,2020,Europe,Finland,0.00,77.70,0.00,0.00,0.00,1.30,0.00,20.80
318,1,70,2020,Europe,France,0.00,58.10,0.00,0.00,0.00,8.30,0.00,31.90
319,1,71,2020,Latin America-Caribbean,French Guiana,0.00,84.00,8.60,1.40,0.00,1.30,0.00,3.90
320,1,72,2020,Asia-Pacific,French Polynesia,0.00,94.00,0.00,0.00,0.00,0.00,0.00,4.90
321,1,73,2020,Sub-Saharan Africa,Gabon,0.00,75.60,5.70,0.00,0.00,12.20,0.00,5.70
322,1,74,2020,Sub-Saharan Africa,Gambia,0.00,4.20,0.00,0.00,0.00,95.30,0.00,0.00
323,1,75,2020,Europe,Georgia,0.00,87.60,0.00,0.00,0.00,11.60,0.00,0.00
324,1,76,2020,Europe,Germany,0.00,66.00,0.00,0.00,0.00,6.90,0.00,26.30
325,1,77,2020,Sub-Saharan Africa,Ghana,0.00,73.60,4.90,0.00,0.00,17.50,0.00,3.80
326,1,78,2020,Europe,Gibraltar,0.00,88.80,0.00,1.80,2.10,4.00,0.00,2.90
327,1,79,2020,Europe,Greece,0.00,87.60,0.00,0.00,0.00,5.90,0.00,6.10
328,1,80,2020,North America,Greenland,0.00,96.10,0.00,0.00,0.00,0.00,0.00,2.50
329,1,81,2020,Latin America-Caribbean,Grenada,0.00,96.60,1.30,0.00,0.00,0.00,0.00,0.00
330,1,82,2020,Latin America-Caribbean,Guadeloupe,0.00,95.90,0.00,0.00,0.00,0.00,0.00,2.50
331,1,83,2020,Asia-Pacific,Guam,1.10,94.20,1.50,0.00,0.00,0.00,1.60,1.70
332,1,84,2020,Latin America-Caribbean,Guatemala,0.00,95.30,0.00,0.00,0.00,0.00,0.00,3.90
333,1,85,2020,Sub-Saharan Africa,Guinea,0.00,10.80,2.70,0.00,0.00,84.60,0.00,1.80
334,1,86,2020,Sub-Saharan Africa,Guinea-Bissau,0.00,18.90,30.60,0.00,0.00,46.10,0.00,4.40
335,1,87,2020,Latin America-Caribbean,Guyana,0.00,67.90,0.00,23.30,0.00,6.10,0.00,2.00
336,1,88,2020,Latin America-Caribbean,Haiti,0.00,87.00,2.10,0.00,0.00,0.00,0.00,10.70
337,1,89,2020,Europe,Vatican City,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
338,1,90,2020,Latin America-Caribbean,Honduras,0.00,87.50,1.10,0.00,0.00,0.00,0.00,10.50
339,1,91,2020,Asia-Pacific,Hong Kong,13.30,14.90,13.00,0.00,0.00,2.10,1.50,54.70
340,1,92,2020,Europe,Hungary,0.00,79.30,0.00,0.00,0.00,0.00,0.00,20.30
341,1,93,2020,Europe,Iceland,0.00,94.00,0.00,0.00,0.00,0.00,0.00,3.90
342,1,94,2020,Asia-Pacific,India,0.00,2.40,0.00,78.90,0.00,15.40,2.10,0.00
343,1,95,2020,Asia-Pacific,Indonesia,0.00,10.20,0.00,1.60,0.00,87.00,0.00,0.00
344,1,96,2020,Asia-Pacific,Iran,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
345,1,97,2020,Middle East-North Africa,Iraq,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
346,1,98,2020,Europe,Ireland,0.00,89.70,0.00,0.00,0.00,1.50,0.00,7.90
347,1,99,2020,Europe,Isle of Man,0.00,84.10,0.00,0.00,0.00,0.00,0.00,15.40
348,1,100,2020,Middle East-North Africa,Israel,0.00,2.00,0.00,0.00,74.00,20.10,0.00,3.20
349,1,101,2020,Europe,Italy,0.00,80.80,0.00,0.00,0.00,4.90,0.00,13.40
350,1,102,2020,Latin America-Caribbean,Jamaica,0.00,77.30,4.60,0.00,0.00,0.00,0.00,17.00
351,1,103,2020,Asia-Pacific,Japan,33.20,1.80,0.00,0.00,0.00,0.00,4.50,60.00
352,1,104,2020,Middle East-North Africa,Jordan,0.00,2.10,0.00,0.00,0.00,97.10,0.00,0.00
353,1,105,2020,Asia-Pacific,Kazakhstan,0.00,23.10,0.00,0.00,0.00,72.00,0.00,4.00
354,1,106,2020,Sub-Saharan Africa,Kenya,0.00,84.50,1.50,0.00,0.00,10.50,1.10,2.30
355,1,107,2020,Asia-Pacific,Kiribati,0.00,97.00,0.00,0.00,0.00,0.00,2.20,0.00
356,1,108,2020,Europe,Kosovo,0.00,5.60,0.00,0.00,0.00,94.30,0.00,0.00
357,1,109,2020,Middle East-North Africa,Kuwait,5.40,13.60,0.00,9.90,0.00,70.70,0.00,0.00
358,1,110,2020,Asia-Pacific,Kyrgyzstan,0.00,10.00,0.00,0.00,0.00,89.40,0.00,0.00
359,1,111,2020,Asia-Pacific,Laos,64.00,1.50,32.80,0.00,0.00,0.00,0.00,0.00
360,1,112,2020,Europe,Latvia,0.00,54.30,0.00,0.00,0.00,0.00,0.00,45.30
361,1,113,2020,Middle East-North Africa,Lebanon,0.00,38.40,0.00,0.00,0.00,61.20,0.00,0.00
362,1,114,2020,Sub-Saharan Africa,Lesotho,0.00,97.00,0.00,0.00,0.00,0.00,0.00,2.80
363,1,115,2020,Sub-Saharan Africa,Liberia,0.00,86.20,0.00,0.00,0.00,11.70,0.00,1.40
364,1,116,2020,Middle East-North Africa,Libya,0.00,2.70,0.00,0.00,0.00,96.60,0.00,0.00
365,1,117,2020,Europe,Liechtenstein,0.00,91.90,0.00,0.00,0.00,5.00,0.00,2.90
366,1,118,2020,Europe,Lithuania,0.00,89.90,0.00,0.00,0.00,0.00,0.00,9.80
367,1,119,2020,Europe,Luxembourg,0.00,70.60,0.00,0.00,0.00,2.30,0.00,26.70
368,1,120,2020,Asia-Pacific,Macau,17.30,7.20,58.90,0.00,0.00,0.00,0.00,15.40
369,1,121,2020,Europe,Republic of Macedonia,0.00,55.10,0.00,0.00,0.00,43.60,0.00,1.30
370,1,122,2020,Sub-Saharan Africa,Madagascar,0.00,84.70,4.70,0.00,0.00,3.10,0.00,7.30
371,1,123,2020,Sub-Saharan Africa,Malawi,0.00,83.40,1.70,0.00,0.00,12.80,0.00,2.00
372,1,124,2020,Asia-Pacific,Malaysia,15.70,9.40,2.20,5.80,0.00,66.10,0.00,0.00
373,1,125,2020,Asia-Pacific,Maldives,0.00,0.00,0.00,0.00,0.00,98.40,0.00,0.00
374,1,126,2020,Sub-Saharan Africa,Mali,0.00,2.40,2.50,0.00,0.00,94.60,0.00,0.00
375,1,127,2020,Europe,Malta,0.00,97.00,0.00,0.00,0.00,0.00,0.00,2.50
376,1,128,2020,Asia-Pacific,Marshall Islands,0.00,97.50,0.00,0.00,0.00,0.00,0.00,1.50
377,1,129,2020,Latin America-Caribbean,Martinique,0.00,96.50,0.00,0.00,0.00,0.00,0.00,2.30
378,1,130,2020,Sub-Saharan Africa,Mauritania,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
379,1,131,2020,Sub-Saharan Africa,Mauritius,0.00,32.80,0.00,48.40,0.00,17.40,0.00,0.00
380,1,132,2020,Sub-Saharan Africa,Mayotte,0.00,0.00,0.00,0.00,0.00,98.60,0.00,0.00
381,1,133,2020,Latin America-Caribbean,Mexico,0.00,94.10,0.00,0.00,0.00,0.00,0.00,5.70
382,1,134,2020,Asia-Pacific,Federated States of Micronesia,0.00,95.30,2.70,0.00,0.00,0.00,0.00,0.00
383,1,135,2020,Europe,Moldova,0.00,97.40,0.00,0.00,0.00,0.00,0.00,1.30
384,1,136,2020,Europe,Monaco,0.00,86.00,0.00,0.00,1.70,0.00,0.00,11.70
385,1,137,2020,Asia-Pacific,Mongolia,54.40,2.30,3.40,0.00,0.00,3.40,0.00,36.50
386,1,138,2020,Europe,Montenegro,0.00,76.60,0.00,0.00,0.00,20.30,0.00,3.10
387,1,139,2020,Latin America-Caribbean,Montserrat,0.00,93.50,0.00,0.00,0.00,0.00,1.50,4.80
388,1,140,2020,Middle East-North Africa,Morocco,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
389,1,141,2020,Sub-Saharan Africa,Mozambique,0.00,57.80,7.60,0.00,0.00,17.20,0.00,17.30
390,1,142,2020,Asia-Pacific,Burma (Myanmar),79.80,7.80,5.80,1.70,0.00,4.20,0.00,0.00
391,1,143,2020,Sub-Saharan Africa,Namibia,0.00,97.50,0.00,0.00,0.00,0.00,0.00,1.90
392,1,144,2020,Asia-Pacific,Nauru,1.10,79.00,8.10,0.00,0.00,0.00,7.40,4.50
393,1,145,2020,Asia-Pacific,Nepal,10.00,0.00,3.60,80.60,0.00,5.00,0.00,0.00
394,1,146,2020,Europe,Netherlands,0.00,47.30,0.00,0.00,0.00,6.90,0.00,44.30
395,1,148,2020,Asia-Pacific,New Caledonia,0.00,85.20,0.00,0.00,0.00,2.80,0.00,10.40
396,1,149,2020,Asia-Pacific,New Zealand,1.90,52.90,0.00,2.50,0.00,1.60,0.00,39.60
397,1,150,2020,Latin America-Caribbean,Nicaragua,0.00,85.30,1.40,0.00,0.00,0.00,0.00,13.00
398,1,151,2020,Sub-Saharan Africa,Niger,0.00,0.00,0.00,0.00,0.00,98.30,0.00,0.00
399,1,152,2020,Sub-Saharan Africa,Nigeria,0.00,46.90,1.50,0.00,0.00,51.10,0.00,0.00
400,1,153,2020,Asia-Pacific,Niue,0.00,96.40,0.00,0.00,0.00,0.00,0.00,3.30
401,1,154,2020,Asia-Pacific,North Korea,1.50,2.00,12.30,0.00,0.00,0.00,12.90,71.30
402,1,155,2020,Asia-Pacific,Northern Mariana Islands,10.60,81.30,5.30,0.00,0.00,0.00,1.10,1.00
403,1,156,2020,Europe,Norway,0.00,81.70,0.00,0.00,0.00,4.90,0.00,11.60
404,1,157,2020,Middle East-North Africa,Oman,0.00,6.40,0.00,5.70,0.00,85.90,0.00,0.00
405,1,158,2020,Asia-Pacific,Pakistan,0.00,1.60,0.00,1.90,0.00,96.50,0.00,0.00
406,1,159,2020,Asia-Pacific,Palau,0.00,86.70,0.00,0.00,0.00,0.00,10.40,1.20
407,1,160,2020,Middle East-North Africa,Palestinian territories,0.00,2.00,0.00,0.00,0.00,97.90,0.00,0.00
408,1,161,2020,Latin America-Caribbean,Panama,0.00,92.70,0.00,0.00,0.00,0.00,0.00,5.00
409,1,162,2020,Asia-Pacific,Papua New Guinea,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
410,1,163,2020,Latin America-Caribbean,Paraguay,0.00,96.90,1.70,0.00,0.00,0.00,0.00,1.10
411,1,164,2020,Latin America-Caribbean,Peru,0.00,95.40,0.00,0.00,0.00,0.00,0.00,3.10
412,1,165,2020,Asia-Pacific,Philippines,0.00,92.40,1.60,0.00,0.00,5.70,0.00,0.00
413,1,167,2020,Europe,Poland,0.00,92.50,0.00,0.00,0.00,0.00,0.00,7.30
414,1,168,2020,Europe,Portugal,0.00,90.50,0.00,0.00,0.00,0.00,0.00,8.60
415,1,169,2020,Latin America-Caribbean,Puerto Rico,0.00,96.50,0.00,0.00,0.00,0.00,0.00,2.10
416,1,170,2020,Middle East-North Africa,Qatar,3.80,13.70,0.00,15.90,0.00,65.20,0.00,0.00
417,1,171,2020,Sub-Saharan Africa,Reunion,0.00,87.60,0.00,4.50,0.00,4.20,1.10,2.00
418,1,172,2020,Europe,Romania,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
419,1,173,2020,Europe,Russia,0.00,72.90,0.00,0.00,0.00,11.40,0.00,15.20
420,1,174,2020,Sub-Saharan Africa,Rwanda,0.00,93.80,0.00,0.00,0.00,2.20,0.00,3.00
421,1,175,2020,Sub-Saharan Africa,St. Helena,0.00,96.50,0.00,0.00,0.00,0.00,0.00,3.30
422,1,176,2020,Latin America-Caribbean,St. Kitts and Nevis,0.00,94.60,1.30,1.50,0.00,0.00,0.00,1.60
423,1,177,2020,Latin America-Caribbean,St. Lucia,0.00,91.50,0.00,0.00,0.00,0.00,1.90,5.80
424,1,178,2020,North America,St. Pierre and Miquelon,0.00,94.70,0.00,0.00,0.00,0.00,1.30,3.80
425,1,179,2020,Latin America-Caribbean,St. Vincent and the Grenadines,0.00,88.70,2.00,3.40,0.00,1.50,2.00,2.50
426,1,180,2020,Asia-Pacific,Samoa,0.00,96.90,0.00,0.00,0.00,0.00,0.00,2.40
427,1,181,2020,Europe,San Marino,0.00,91.60,0.00,0.00,0.00,0.00,0.00,7.20
428,1,182,2020,Sub-Saharan Africa,Sao Tome and Principe,0.00,81.10,3.10,0.00,0.00,0.00,2.50,13.20
429,1,183,2020,Middle East-North Africa,Saudi Arabia,0.00,4.40,0.00,1.30,0.00,92.70,0.00,0.00
430,1,184,2020,Sub-Saharan Africa,Senegal,0.00,3.30,0.00,0.00,0.00,96.60,0.00,0.00
431,1,185,2020,Europe,Serbia,0.00,91.60,0.00,0.00,0.00,5.00,0.00,3.30
432,1,186,2020,Sub-Saharan Africa,Seychelles,0.00,94.00,0.00,2.10,0.00,1.10,0.00,2.10
433,1,187,2020,Sub-Saharan Africa,Sierra Leone,0.00,20.40,0.00,0.00,0.00,78.50,0.00,0.00
434,1,188,2020,Asia-Pacific,Singapore,32.20,17.70,2.40,6.50,0.00,16.10,8.50,16.50
435,1,189,2020,Europe,Slovakia,0.00,83.60,0.00,0.00,0.00,0.00,0.00,15.80
436,1,190,2020,Europe,Slovenia,0.00,77.20,0.00,0.00,0.00,3.90,0.00,18.80
437,1,191,2020,Asia-Pacific,Solomon Islands,0.00,97.40,1.30,0.00,0.00,0.00,0.00,0.00
438,1,192,2020,Sub-Saharan Africa,Somalia,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
439,1,193,2020,Sub-Saharan Africa,South Africa,0.00,80.80,0.00,1.00,0.00,1.90,0.00,15.30
440,1,194,2020,Asia-Pacific,South Korea,21.90,30.10,0.00,0.00,0.00,0.00,0.00,46.60
441,1,195,2020,Europe,Spain,0.00,75.20,0.00,0.00,0.00,3.30,0.00,21.00
442,1,196,2020,Asia-Pacific,Sri Lanka,68.60,7.20,0.00,13.70,0.00,10.40,0.00,0.00
443,1,197,2020,Middle East-North Africa,Sudan,0.00,5.40,2.80,0.00,0.00,90.70,0.00,1.00
444,1,198,2020,Latin America-Caribbean,Suriname,0.00,52.30,5.60,18.80,0.00,14.30,1.90,6.20
445,1,199,2020,Sub-Saharan Africa,Swaziland,0.00,88.70,1.00,0.00,0.00,0.00,0.00,9.40
446,1,200,2020,Europe,Sweden,0.00,63.00,0.00,0.00,0.00,6.50,0.00,29.00
447,1,201,2020,Europe,Switzerland,0.00,70.00,0.00,0.00,0.00,5.60,0.00,22.80
448,1,202,2020,Middle East-North Africa,Syria,0.00,5.20,0.00,0.00,0.00,92.80,0.00,2.00
449,1,203,2020,Asia-Pacific,Taiwan,21.20,5.80,43.80,0.00,0.00,0.00,15.50,13.70
450,1,204,2020,Asia-Pacific,Tajikistan,0.00,1.80,0.00,0.00,0.00,96.40,0.00,1.50
451,1,205,2020,Sub-Saharan Africa,Tanzania,0.00,63.10,1.10,0.00,0.00,34.10,0.00,1.60
452,1,206,2020,Asia-Pacific,Thailand,92.60,0.00,0.00,0.00,0.00,6.00,0.00,0.00
453,1,207,2020,Asia-Pacific,Timor-Leste,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
454,1,208,2020,Sub-Saharan Africa,Togo,0.00,42.30,36.90,0.00,0.00,14.00,0.00,6.20
455,1,209,2020,Asia-Pacific,Tokelau,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
456,1,210,2020,Asia-Pacific,Tonga,0.00,98.90,0.00,0.00,0.00,0.00,0.00,0.00
457,1,211,2020,Latin America-Caribbean,Trinidad and Tobago,0.00,66.30,2.00,22.30,0.00,5.80,1.40,1.80
458,1,212,2020,Middle East-North Africa,Tunisia,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
459,1,213,2020,Asia-Pacific,Turkey,0.00,0.00,0.00,0.00,0.00,98.00,0.00,1.20
460,1,214,2020,Asia-Pacific,Turkmenistan,0.00,6.40,0.00,0.00,0.00,93.00,0.00,0.00
461,1,215,2020,Latin America-Caribbean,Turks and Caicos Islands,0.00,92.10,2.70,0.00,0.00,0.00,0.00,4.60
462,1,216,2020,Asia-Pacific,Tuvalu,0.00,96.70,0.00,0.00,0.00,0.00,1.90,1.30
463,1,217,2020,Sub-Saharan Africa,Uganda,0.00,86.10,0.00,0.00,0.00,12.10,0.00,0.00
464,1,218,2020,Europe,Ukraine,0.00,85.60,0.00,0.00,0.00,1.70,0.00,12.50
465,1,219,2020,Middle East-North Africa,United Arab Emirates,2.40,12.90,0.00,7.70,0.00,75.00,0.00,1.10
466,1,220,2020,Europe,United Kingdom,0.00,59.10,0.00,1.60,0.00,6.10,0.00,31.20
467,1,221,2020,North America,United States,1.20,75.50,0.00,0.00,1.70,1.10,0.00,18.60
468,1,222,2020,Latin America-Caribbean,U.S. Virgin Islands,0.00,94.80,0.00,0.00,0.00,0.00,0.00,3.70
469,1,223,2020,Latin America-Caribbean,Uruguay,0.00,57.00,0.00,0.00,0.00,0.00,0.00,41.50
470,1,224,2020,Asia-Pacific,Uzbekistan,0.00,2.00,0.00,0.00,0.00,97.10,0.00,0.00
471,1,225,2020,Asia-Pacific,Vanuatu,0.00,93.50,4.00,0.00,0.00,0.00,1.40,1.20
472,1,226,2020,Latin America-Caribbean,Venezuela,0.00,89.50,0.00,0.00,0.00,0.00,0.00,9.70
473,1,227,2020,Asia-Pacific,Vietnam,16.20,8.40,45.00,0.00,0.00,0.00,0.00,29.90
474,1,228,2020,Asia-Pacific,Wallis and Futuna,0.00,97.40,1.20,0.00,0.00,0.00,0.00,0.00
475,1,229,2020,Middle East-North Africa,Western Sahara,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
476,1,230,2020,Middle East-North Africa,Yemen,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
477,1,231,2020,Sub-Saharan Africa,Zambia,0.00,97.40,0.00,0.00,0.00,0.00,0.00,0.00
478,1,232,2020,Sub-Saharan Africa,Zimbabwe,0.00,87.10,4.00,0.00,0.00,0.00,0.00,7.60
479,1,237,2020,Sub-Saharan Africa,South Sudan,0.00,60.50,32.90,0.00,0.00,6.20,0.00,0.00
480,1,238,2020,Latin America-Caribbean,Curacao,0.00,93.90,1.20,0.00,0.00,0.00,0.00,3.30
481,1,239,2020,Latin America-Caribbean,Sint Maarten,0.00,93.90,1.20,0.00,0.00,0.00,0.00,3.30
482,1,240,2020,Latin America-Caribbean,Caribbean Netherlands,0.00,93.90,1.20,0.00,0.00,0.00,0.00,3.30